CPU,RAM,BINARY
100,95.97,0
100,95.97,0
100,96,0
100,96.01,0
100,96.02,0
100,96.04,0
100,96.05,0
100,96.06,0
100,96.08,0
100,96.1,0
100,96.12,0
100,95.89,0
100,95.91,0
100,95.92,0
100,95.87,0
100,95.88,0
100,95.89,0
100,95.89,0
100,95.93,0
100,95.94,0
100,95.95,0
100,95.97,0
100,96.02,0
100,96.03,0
100,96.03,0
100,96.05,0
100,96.06,0
100,96.07,0
100,96.08,0
100,96.1,0
100,96.12,0
100,96.13,0
100,96.15,0
100,96.15,0
100,96.16,0
100,96.18,0
100,96.2,0
100,96.21,0
100,96.16,0
100,96.16,0
100,96.16,0
100,96.17,0
100,96.2,0
100,96.21,0
100,96.22,0
100,96.2,0
100,96.21,0
100,96.21,0
100,96.21,0
100,96.23,0
100,96.25,0
100,96.26,0
100,96.27,0
100,96.29,0
100,96.31,0
100,96.31,0
100,96.07,0
100,96.07,0
100,96.07,0
100,96.09,0
100,96.09,0
100,96.11,0
100,96.05,0
100,96.05,0
100,96.06,0
100,96.07,0
100,96.08,0
100,96.08,0
100,96.09,0
100,96.11,0
100,96.11,0
100,96.14,0
100,96.16,0
100,96.18,0
100,96.19,0
100,96.21,0
100,95.53,0
100,95.62,0
100,95.64,0
100,95.65,0
100,95.66,0
100,95.68,0
100,95.69,0
100,95.7,0
100,95.71,0
100,95.72,0
100,95.68,0
100,95.67,0
100,95.69,0
100,95.73,0
100,95.77,0
100,95.79,0
100,95.79,0
100,95.77,0
100,95.81,0
100,95.82,0
100,95.89,0
100,95.9,0
100,95.94,0
100,95.95,0
100,95.96,0
100,96.04,0
100,96.05,0
100,96.04,0
100,96.06,0
100,96.1,0
100,96.13,0
100,96.15,0
100,96.18,0
100,96.19,0
100,96.14,0
100,96.16,0
100,96.15,0
100,96.16,0
100,96.18,0
100,96.18,0
100,96.19,0
100,96.2,0
100,96.22,0
100,96.24,0
100,96.25,0
100,96.26,0
100,96.25,0
100,96.29,0
100,96.3,0
100,96.31,0
100,96.32,0
100,96.33,0
100,96.35,0
100,96.34,0
100,96.35,0
100,96.37,0
100,96.38,0
100,96.39,0
100,96.33,0
100,96.27,0
100,96.28,0
100,96.29,0
100,96.3,0
100,96.31,0
100,96.32,0
100,96.34,0
100,96.35,0
100,96.37,0
100,96.41,0
100,96.42,0
100,96.43,0
100,96.44,0
100,96.52,0
100,96.52,0
100,96.55,0
100,96.58,0
100,96.61,0
100,96.67,0
100,96.71,0
100,96.72,0
100,96.74,0
100,96.75,0
100,96.7,0
100,96.7,0
100,96.71,0
100,96.73,0
100,96.73,0
100,96.74,0
100,96.74,0
100,96.76,0
100,96.77,0
100,96.77,0
100,96.79,0
100,96.79,0
100,96.8,0
100,96.81,0
100,96.84,0
100,96.86,0
100,96.91,0
100,96.92,0
